date,region,price
1993-05-10,Lower Atlantic,1.057
1993-05-10,Midwest,1.091
1993-05-10,New England,1.091
1993-05-10,Rocky Mountain,1.143
1993-05-10,U.S. Average,1.097
1993-05-10,West Coast,1.171
1993-05-17,Central Atlantic,1.095
1993-05-17,East Coast,1.073
1993-05-17,Gulf Coast,1.097
1993-05-17,Lower Atlantic,1.06
1993-05-17,Midwest,1.107
1993-05-17,New England,1.096
1993-05-17,Rocky Mountain,1.136
1993-05-17,U.S. Average,1.106
1993-05-17,West Coast,1.177
1993-05-24,Central Atlantic,1.094
1993-05-24,East Coast,1.075
1993-05-24,Gulf Coast,1.096
1993-05-24,Lower Atlantic,1.064
1993-05-24,Midwest,1.103
1993-05-24,New England,1.096
1993-05-24,Rocky Mountain,1.17
1993-05-24,U.S. Average,1.106
1993-05-24,West Coast,1.178
1993-05-31,Central Atlantic,1.099
1993-05-31,East Coast,1.078
1993-05-31,Gulf Coast,1.096
1993-05-31,Lower Atlantic,1.065
1993-05-31,Midwest,1.102
1993-05-31,New England,1.097
1993-05-31,Rocky Mountain,1.164
1993-05-31,U.S. Average,1.107
1993-05-31,West Coast,1.186
1993-06-07,Central Atlantic,1.098
1993-06-07,East Coast,1.078
1993-06-07,Gulf Coast,1.095
1993-06-07,Lower Atlantic,1.064
1993-06-07,Midwest,1.095
1993-06-07,New England,1.102
1993-06-07,Rocky Mountain,1.149
1993-06-07,U.S. Average,1.104
1993-06-07,West Coast,1.188
1993-06-14,Central Atlantic,1.097
1993-06-14,East Coast,1.076
1993-06-14,Gulf Coast,1.094
1993-06-14,Lower Atlantic,1.062
1993-06-14,Midwest,1.092
1993-06-14,New England,1.103
1993-06-14,Rocky Mountain,1.137
1993-06-14,U.S. Average,1.101
1993-06-14,West Coast,1.188
1993-06-21,Central Atlantic,1.095
1993-06-21,East Coast,1.075
1993-06-21,Gulf Coast,1.09
1993-06-21,Lower Atlantic,1.062
1993-06-21,Midwest,1.077
1993-06-21,New England,1.101
1993-06-21,Rocky Mountain,1.132
1993-06-21,U.S. Average,1.095
1993-06-21,West Coast,1.186
1993-06-28,Central Atlantic,1.095
1993-06-28,East Coast,1.072
1993-06-28,Gulf Coast,1.087
1993-06-28,Lower Atlantic,1.057
1993-06-28,Midwest,1.068
1993-06-28,New England,1.1
1993-06-28,Rocky Mountain,1.12
1993-06-28,U.S. Average,1.089
1993-06-28,West Coast,1.182
1993-07-05,Central Atlantic,1.091
1993-07-05,East Coast,1.068
1993-07-05,Gulf Coast,1.089
1993-07-05,Lower Atlantic,1.054
1993-07-05,Midwest,1.063
1993-07-05,New England,1.096
1993-07-05,Rocky Mountain,1.111
1993-07-05,U.S. Average,1.086
1993-07-05,West Coast,1.181
1993-07-12,Central Atlantic,1.09
1993-07-12,East Coast,1.066
1993-07-12,Gulf Coast,1.083
1993-07-12,Lower Atlantic,1.05
1993-07-12,Midwest,1.054
1993-07-12,New England,1.095
1993-07-12,Rocky Mountain,1.134
1993-07-12,U.S. Average,1.081
1993-07-12,West Coast,1.177
1993-07-19,Central Atlantic,1.086
1993-07-19,East Coast,1.062
1993-07-19,Gulf Coast,1.08
1993-07-19,Lower Atlantic,1.046
1993-07-19,Midwest,1.045
1993-07-19,New England,1.091
1993-07-19,Rocky Mountain,1.124
1993-07-19,U.S. Average,1.075
1993-07-19,West Coast,1.172
1993-07-26,Central Atlantic,1.083
1993-07-26,East Coast,1.059
1993-07-26,Gulf Coast,1.075
1993-07-26,Lower Atlantic,1.043
1993-07-26,Midwest,1.036
1993-07-26,New England,1.089
1993-07-26,Rocky Mountain,1.114
1993-07-26,U.S. Average,1.069
1993-07-26,West Coast,1.168
1993-08-02,Central Atlantic,1.077
1993-08-02,East Coast,1.054
1993-08-02,Gulf Coast,1.07
1993-08-02,Lower Atlantic,1.038
1993-08-02,Midwest,1.028
1993-08-02,New England,1.086
1993-08-02,Rocky Mountain,1.103
1993-08-02,U.S. Average,1.062
1993-08-02,West Coast,1.158
1993-08-09,Central Atlantic,1.076
1993-08-09,East Coast,1.051
1993-08-09,Gulf Coast,1.067
1993-08-09,Lower Atlantic,1.035
1993-08-09,Midwest,1.026
1993-08-09,New England,1.081
1993-08-09,Rocky Mountain,1.092
1993-08-09,U.S. Average,1.06
1993-08-09,West Coast,1.159
1993-08-16,Central Atlantic,1.075
1993-08-16,East Coast,1.047
1993-08-16,Gulf Coast,1.064
1993-08-16,Lower Atlantic,1.03
1993-08-16,Midwest,1.025
1993-08-16,New England,1.077
1993-08-16,Rocky Mountain,1.134
1993-08-16,U.S. Average,1.059
1993-08-16,West Coast,1.154
1993-08-23,Central Atlantic,1.074
1993-08-23,East Coast,1.045
1993-08-23,Gulf Coast,1.067
1993-08-23,Lower Atlantic,1.028
1993-08-23,Midwest,1.043
1993-08-23,New England,1.072
1993-08-23,Rocky Mountain,1.129
1993-08-23,U.S. Average,1.065
1993-08-23,West Coast,1.155
1993-08-30,Central Atlantic,1.068
1993-08-30,East Coast,1.041
1993-08-30,Gulf Coast,1.062
1993-08-30,Lower Atlantic,1.024
1993-08-30,Midwest,1.04
1993-08-30,New England,1.069
1993-08-30,Rocky Mountain,1.121
1993-08-30,U.S. Average,1.062
1993-08-30,West Coast,1.155
1993-09-06,Central Atlantic,1.065
1993-09-06,East Coast,1.037
1993-09-06,Gulf Coast,1.06
1993-09-06,Lower Atlantic,1.02
1993-09-06,Midwest,1.029
1993-09-06,New England,1.065
1993-09-06,Rocky Mountain,1.108
1993-09-06,U.S. Average,1.055
1993-09-06,West Coast,1.154
1993-09-13,Central Atlantic,1.063
1993-09-13,East Coast,1.034
1993-09-13,Gulf Coast,1.054
1993-09-13,Lower Atlantic,1.016
1993-09-13,Midwest,1.02
1993-09-13,New England,1.068
1993-09-13,Rocky Mountain,1.108
1993-09-13,U.S. Average,1.051
1993-09-13,West Coast,1.155
1993-09-20,Central Atlantic,1.059
1993-09-20,East Coast,1.028
1993-09-20,Gulf Coast,1.05
1993-09-20,Lower Atlantic,1.009
1993-09-20,Midwest,1.009
1993-09-20,New England,1.063
1993-09-20,Rocky Mountain,1.093
1993-09-20,U.S. Average,1.045
1993-09-20,West Coast,1.165
1993-09-27,Central Atlantic,1.057
1993-09-27,East Coast,1.024
1993-09-27,Gulf Coast,1.042
1993-09-27,Lower Atlantic,1.003
1993-09-27,Midwest,1.016
1993-09-27,New England,1.06
1993-09-27,Rocky Mountain,1.132
1993-09-27,U.S. Average,1.047
1993-09-27,West Coast,1.171
1993-10-04,Central Atlantic,1.104
1993-10-04,East Coast,1.068
1993-10-04,Gulf Coast,1.086
1993-10-04,Lower Atlantic,1.047
1993-10-04,Midwest,1.063
1993-10-04,New England,1.101
1993-10-04,Rocky Mountain,1.155
1993-10-04,U.S. Average,1.092
1993-10-04,West Coast,1.22
1993-10-11,Central Atlantic,1.102
1993-10-11,East Coast,1.064
1993-10-11,Gulf Coast,1.081
1993-10-11,Lower Atlantic,1.042
1993-10-11,Midwest,1.065
1993-10-11,New England,1.092
1993-10-11,Rocky Mountain,1.144
1993-10-11,U.S. Average,1.09
1993-10-11,West Coast,1.215
1993-10-18,Central Atlantic,1.1
1993-10-18,East Coast,1.063
1993-10-18,Gulf Coast,1.078
1993-10-18,Lower Atlantic,1.041
1993-10-18,Midwest,1.078
1993-10-18,New England,1.093
1993-10-18,Rocky Mountain,1.149
1993-10-18,U.S. Average,1.093
1993-10-18,West Coast,1.209
1993-10-25,Central Atlantic,1.1
1993-10-25,East Coast,1.061
1993-10-25,Gulf Coast,1.073
1993-10-25,Lower Atlantic,1.039
1993-10-25,Midwest,1.074
1993-10-25,New England,1.091
1993-10-25,Rocky Mountain,1.202
1993-10-25,U.S. Average,1.092
1993-10-25,West Coast,1.202
1993-11-01,Central Atlantic,1.099
1993-11-01,East Coast,1.057
1993-11-01,Gulf Coast,1.069
1993-11-01,Lower Atlantic,1.034
1993-11-01,Midwest,1.062
1993-11-01,New England,1.087
1993-11-01,Rocky Mountain,1.186
1993-11-01,U.S. Average,1.084
1993-11-01,West Coast,1.198
1993-11-08,Central Atlantic,1.097
1993-11-08,East Coast,1.053
1993-11-08,Gulf Coast,1.062
1993-11-08,Lower Atlantic,1.029
1993-11-08,Midwest,1.051
1993-11-08,New England,1.081
1993-11-08,Rocky Mountain,1.169
1993-11-08,U.S. Average,1.075
1993-11-08,West Coast,1.186
1993-11-15,Central Atlantic,1.09
1993-11-15,East Coast,1.048
1993-11-15,Gulf Coast,1.052
1993-11-15,Lower Atlantic,1.025
1993-11-15,Midwest,1.034
1993-11-15,New England,1.081
1993-11-15,Rocky Mountain,1.158
1993-11-15,U.S. Average,1.064
1993-11-15,West Coast,1.176
1993-11-22,Central Atlantic,1.085
1993-11-22,East Coast,1.043
1993-11-22,Gulf Coast,1.044
1993-11-22,Lower Atlantic,1.019
1993-11-22,Midwest,1.026
1993-11-22,New England,1.076
1993-11-22,Rocky Mountain,1.171
1993-11-22,U.S. Average,1.058
1993-11-22,West Coast,1.167
1993-11-29,Central Atlantic,1.081
1993-11-29,East Coast,1.038
1993-11-29,Gulf Coast,1.04
1993-11-29,Lower Atlantic,1.013
1993-11-29,Midwest,1.017
1993-11-29,New England,1.074
1993-11-29,Rocky Mountain,1.158
1993-11-29,U.S. Average,1.051
1993-11-29,West Coast,1.159
1993-12-06,Central Atlantic,1.071
1993-12-06,East Coast,1.028
1993-12-06,Gulf Coast,1.03
1993-12-06,Lower Atlantic,1.003
1993-12-06,Midwest,0.994
1993-12-06,New England,1.064
1993-12-06,Rocky Mountain,1.154
1993-12-06,U.S. Average,1.036
1993-12-06,West Coast,1.147
1993-12-13,Central Atlantic,1.064
1993-12-13,East Coast,1.015
1993-12-13,Gulf Coast,1.014
1993-12-13,Lower Atlantic,0.986
1993-12-13,Midwest,0.969
1993-12-13,New England,1.055
1993-12-13,Rocky Mountain,1.135
1993-12-13,U.S. Average,1.018
1993-12-13,West Coast,1.134
1993-12-20,Central Atlantic,1.056
1993-12-20,East Coast,1.004
1993-12-20,Gulf Coast,1.001
1993-12-20,Lower Atlantic,0.974
1993-12-20,Midwest,0.948
1993-12-20,New England,1.047
1993-12-20,Rocky Mountain,1.115
1993-12-20,U.S. Average,1.003
1993-12-20,West Coast,1.122
1993-12-27,Central Atlantic,1.051
1993-12-27,East Coast,0.997
1993-12-27,Gulf Coast,0.993
1993-12-27,Lower Atlantic,0.966
1993-12-27,Midwest,0.949
1993-12-27,New England,1.04
1993-12-27,Rocky Mountain,1.098
1993-12-27,U.S. Average,0.999
1993-12-27,West Coast,1.12
1994-01-03,Central Atlantic,1.044
1994-01-03,East Coast,0.992
1994-01-03,Gulf Coast,0.989
1994-01-03,Lower Atlantic,0.962
1994-01-03,Midwest,0.939
1994-01-03,New England,1.037
1994-01-03,Rocky Mountain,1.085
1994-01-03,U.S. Average,0.992
1994-01-03,West Coast,1.117
1994-01-10,Central Atlantic,1.041
1994-01-10,East Coast,0.989
1994-01-10,Gulf Coast,0.984
1994-01-10,Lower Atlantic,0.958
1994-01-10,Midwest,0.956
1994-01-10,New England,1.036
1994-01-10,Rocky Mountain,1.065
1994-01-10,U.S. Average,0.995
1994-01-10,West Coast,1.111
1994-01-17,Central Atlantic,1.033
1994-01-17,East Coast,0.987
1994-01-17,Gulf Coast,0.982
1994-01-17,Lower Atlantic,0.958
1994-01-17,Midwest,0.974
1994-01-17,New England,1.036
1994-01-17,Rocky Mountain,1.092
1994-01-17,U.S. Average,1.001
1994-01-17,West Coast,1.106
1994-01-24,Central Atlantic,1.03
1994-01-24,East Coast,0.985
1994-01-24,Gulf Coast,0.981
1994-01-24,Lower Atlantic,0.957
1994-01-24,Midwest,0.972
1994-01-24,New England,1.032
1994-01-24,Rocky Mountain,1.075
1994-01-24,U.S. Average,0.999
1994-01-24,West Coast,1.104
1994-01-31,Central Atlantic,1.031
1994-01-31,East Coast,0.984
